Cell ID,x,y,z
0,1.068396455,0.901130524,0.547722558
1,1.065403007,0.716085026,0.564420242
2,1.063951846,0.671365181,0.576231639
3,1.065242336,0.597363056,0.592706813
4,1.053526328,0.945633359,0.62282811
5,1.034135835,0.662416052,0.648787072
6,1.001929322,0.589911082,0.666029364
7,1.002915826,0.835791491,0.680922142
8,1.016342866,0.8105096,0.692879176
9,0.978984008,0.689234202,0.707114316
10,0.938949492,0.773733402,0.717937478
11,0.92909386,0.82240455,0.727359744
12,0.932489533,1.068396455,0.734291044
13,0.887082661,0.91897648,0.741711764
14,0.840144894,0.906577102,0.74791885
15,0.877466386,0.547722558,0.7551049
16,0.841447225,0.741782339,0.761854374
17,0.821226769,0.741968198,0.766684506
18,0.820532721,0.847326926,0.771521242
19,0.793819471,0.840631692,0.775047536
20,0.788950046,0.958678515,0.779345006
21,0.762165613,0.700236796,0.783961293
22,0.846789236,0.970119237,0.788166441
23,0.832188631,0.732243147,0.793547904
24,0.803045431,0.747761421,0.798119891
25,0.791167146,0.854202988,0.802367246
26,0.731090777,0.812606986,0.805608586
27,0.865197357,0.843155548,0.809186699
28,0.815100139,0.874021197,0.813090324
29,0.758999078,0.89034438,0.81667257
30,0.791695274,0.966976757,0.819982871
31,0.784154627,0.841245479,0.823429541
32,0.777930291,0.885686386,0.826739016
33,0.684507512,0.810734575,0.830517029
34,0.781001865,0.826785641,0.834635877
35,0.74798552,0.690720078,0.838050654
36,0.838680186,0.85305524,0.84144104
37,0.808044714,0.775732686,0.845336172
38,0.801254829,0.864767323,0.848382756
39,0.731991109,0.615975376,0.851358655
40,0.7124494,0.896453786,0.854458955
41,0.770103266,0.778483885,0.857179441
42,0.730106698,0.934220978,0.860544303
43,0.782903365,0.896466734,0.863562362
44,0.773043249,0.877927494,0.866080502
45,0.830141115,0.860725663,0.868782319
46,0.682703335,0.901688117,0.870959529
47,0.74149349,0.934343226,0.87338602
48,0.764381882,0.925845138,0.875393244
49,0.775453507,0.844602437,0.877878622
50,0.83746662,0.862288198,0.880444193
51,0.698001033,0.91323309,0.882727652
52,0.762520188,0.829003082,0.884936011
53,0.706428341,0.857470579,0.887219996
54,0.670640547,0.867745307,0.889780819
55,0.596352603,1.003825711,0.892323244
56,0.684659433,1.002540501,0.894770604
57,0.656866011,1.012214548,0.896990795
58,0.660257375,1.004563536,0.899283259
59,0.725759219,0.998169062,0.901515737
60,0.718989884,0.964953629,0.904035949
61,0.753821891,0.93800216,0.906396168
62,0.73194583,0.950324942,0.908421144
63,0.698745981,0.895865059,0.910518313
64,0.602757416,0.967485496,0.912277285
65,0.72178827,0.93315408,0.914476667
66,0.751340206,0.897285289,0.916337881
67,0.77066089,0.967104977,0.918690417
68,0.741350484,0.853420926,0.920903359
69,0.79011336,0.848053064,0.922847727
70,0.800127325,0.961402558,0.925154407
71,0.810271809,0.85035169,0.927680026
72,0.74890294,0.870767865,0.929897317
73,0.797421836,0.921036435,0.921220743
74,0.824631051,0.902397893,0.923342818
75,0.826130715,0.950063128,0.925536239
76,0.777970122,0.917060252,0.927683546
77,0.689645656,0.976720962,0.929496781
78,0.748293518,0.949068854,0.931480346
79,0.850505383,0.94710777,0.933298637
80,0.761809754,0.990836318,0.935062848
81,0.79251119,0.950545166,0.936594807
82,0.74505582,0.955536202,0.938494888
83,0.738757929,0.981161888,0.940251887
84,0.842990673,0.910394737,0.942143994
85,0.775945019,0.923601295,0.944283355
86,0.810531919,0.92726746,0.946201312
87,0.751569301,0.988317976,0.947882426
88,0.776924929,0.973667193,0.949364081
89,0.745947763,0.985725398,0.951078363
90,0.768592793,0.979617067,0.952734432
91,0.790372367,0.970744871,0.95469126
92,0.689246101,0.952387969,0.956193118
93,0.747972196,0.950153292,0.957542669
94,0.75734873,0.977106482,0.959235078
95,0.681878383,0.959426657,0.960436055
96,0.74152818,1.00775913,0.961750944
97,0.718496303,1.043283141,0.963067522
98,0.714041858,0.98605333,0.964421532
99,0.695625142,0.961038896,0.965724708
100,0.712641861,1.007009052,0.96689878
101,0.694245711,0.899794642,0.968220574
102,0.699744757,0.903027453,0.969278789
103,0.649317647,0.957741313,0.970258379
104,0.61578183,0.989072802,0.971584809
105,0.727648091,0.965561026,0.972361806
106,0.774431361,0.951665263,0.973356237
107,0.777917696,0.893133453,0.974435426
108,0.745895287,0.907367092,0.975472678
109,0.69369396,0.973964249,0.976875565
110,0.740967459,0.89840588,0.97787323
111,0.697720884,0.878744271,0.97889481
112,0.763990771,0.935492492,0.980115117
113,0.755074314,0.954367305,0.981020876
114,0.714109024,0.916097902,0.982142311
115,0.777519077,0.934294975,0.983180165
116,0.790664421,0.920753726,0.984254209
117,0.777363498,0.913131128,0.985233861
118,0.73537898,0.925553146,0.986231875
119,0.720364281,0.962378874,0.987096622
120,0.760514168,0.863120022,0.988121322
121,0.710028734,0.863915504,0.989249513
122,0.74721344,0.921497885,0.990356541
123,0.720997604,0.918099768,0.991414185
124,0.802838093,0.87967615,0.99221191
125,0.748006999,0.838599834,0.993170264
126,0.676680749,0.879176171,0.994259468
127,0.765839256,0.874108283,0.99522409
128,0.753284494,0.8303197,0.996235313
129,0.74816803,0.934674754,0.997194089
130,0.664833235,0.882643972,0.998297803
131,0.637452636,0.920369936,0.999161861
132,0.696331593,0.922555624,1.000287133
133,0.68923792,0.868558024,1.001119439
134,0.656226659,0.870230498,1.001969161
135,0.69537469,0.808136384,1.002844674
136,0.69200531,0.983190834,1.003847568
137,0.681826565,0.843765839,1.004738109
138,0.632377173,0.927173821,1.00540517
139,0.556132236,0.882637456,1.006156468
140,0.665376159,0.806692402,1.006861331
141,0.699882243,0.900369929,1.00765361
142,0.629904917,0.883236283,1.008456368
143,0.674448201,0.894212478,1.009310371
144,0.799405702,0.889619776,1.00244578
145,0.646642892,0.865980861,1.003248604
146,0.686508671,0.837946763,1.004031488
147,0.697696284,0.838927747,1.004884032
148,0.696129788,0.949289441,1.005549531
149,0.722216744,0.932775647,1.006430947
150,0.719021431,0.800249202,1.007162769
151,0.691417459,0.875020604,1.007969713
152,0.709349032,0.893116046,1.008644397
153,0.660659405,0.810790894,1.009465297
154,0.761841496,0.880857756,1.010002419
155,0.700632434,0.898826656,1.010697013
156,0.709112329,0.947859357,1.011476422
157,0.631055309,0.947391279,1.012302827
158,0.733961249,0.944452499,1.01303889
