,v,x,y
AB,-3587.846845,-34.2268477,52.41275615
ABa,-11352.50529,-103.4094606,54.89103815
ABal,-12290.92294,-130.4990498,47.09200165
ABala,-16420.68577,-142.1583069,57.75492875
ABalaa,-16876.25856,-150.8165997,55.94960565
ABalaaa,-18101.28801,-158.3351407,57.16130965
ABalaaaa,-16939.416,-152.5352386,55.52623825
ABalaaaal,-14859.62769,-160.3110801,46.34622785
ABalaaaala,-13911.19369,-162.4113206,42.82704445
ABalaaaalp,-10429.91388,-145.1160895,35.93644895
ABalaaaar,-18440.53221,-169.1640597,54.50487605
ABalaaaarl,-16951.63047,-167.3799733,50.63816815
ABalaaaarr,-18799.56148,-158.9982333,59.11877475
ABalaaap,-16834.30127,-136.125406,61.83379635
ABalaaapa,-18415.14269,-164.1197652,56.10275725
ABalaaapal,-15299.7184,-167.47832,45.67671325
ABalaaapar,-19588.4517,-175.3040258,55.86994255
ABalaaapp,-18209.82833,-145.5687999,62.54715415
ABalaaappl,-21220.75474,-169.8069496,62.48494185
ABalaaappr,-20563.43403,-151.6570921,67.79582065
ABalaap,-12366.40442,-126.6533603,48.81988285
ABalaapa,-14119.67404,-118.401811,59.62608985
ABalaapaa,-18603.58503,-146.3474435,63.55965155
ABalaapaaa,-18515.70507,-145.4222056,63.66189055
ABalaapaap,-16190.19414,-120.2295003,67.33037275
ABalaapap,-16710.65519,-122.110166,68.42450445
ABalaapapp,-14342.17812,-98.9161914,72.49661515
ABalaapp,-9557.450975,-79.3765164,60.20326545
ABalaappa,-17284.52753,-126.6043181,68.26199845
ABalaappap,-17473.09586,-123.1743951,70.92827955
ABalaappp,-14461.28804,-103.7170384,69.71510305
ABalaapppa,-19555.80693,-138.6153297,70.53984205
ABalaapppp,-17580.8655,-119.0294348,73.85091565
ABalap,-16539.15095,-124.2904114,66.53429965
ABalapa,-17885.01619,-136.1866124,65.66363565
ABalapaa,-16787.70458,-138.1987436,60.73754415
ABalapaaa,-15344.06497,-151.4159951,50.66857355
ABalapaaaa,-15674.26553,-163.1951216,48.02308235
ABalapaaap,-13667.19488,-149.0198734,45.85695375
ABalapaap,-12304.31901,-134.8127366,45.63485365
ABalapaapa,-12416.35845,-150.2954136,41.30651145
ABalapaapp,-10183.92155,-131.5035334,38.72109475
ABalapap,-13974.36531,-106.677127,65.49841425
ABalapapa,-12814.40672,-121.7556976,52.62343765
ABalapapap,-12833.94244,-128.9512935,49.76275185
ABalapapp,-8588.055921,-85.3309315,50.32205655
ABalapappa,-9375.132306,-108.3959105,43.24486165
ABalapappp,-6680.683065,-76.3984804,43.72261745
ABalapp,-11025.84194,-94.8743617,58.10759485
ABalappa,-12680.94896,-100.0315419,63.38475205
ABalappaa,-17519.09586,-148.791703,58.87121225
ABalappaap,-18100.70488,-155.5799374,58.17171925
ABalappap,-15823.7578,-124.7534205,63.42013605
ABalappapa,-21109.02209,-157.1437826,67.16467475
ABalappapp,-19775.76131,-140.0229625,70.61613665
ABalappp,-6864.780783,-56.2277913,61.04437525
ABalapppa,-12566.37169,-95.9599872,65.47714345
ABalapppaa,-17738.23475,-138.6991131,63.94501865
ABalapppap,-15475.22028,-114.9994153,67.28390855
ABalapppp,-7432.012037,-55.5979183,66.83714305
ABalappppa,-13431.79713,-94.2978615,71.22005165
ABalappppp,-9030.808507,-62.8666055,71.82516405
ABalp,-8667.571843,-110.7704994,39.12400815
ABalpa,-10946.38543,-135.0194259,40.53633525
ABalpaa,-13148.71133,-148.5372099,44.26066485
ABalpaaa,-15384.31072,-156.714735,49.08380415
ABalpaaaa,-14622.69614,-147.0132936,49.73256425
ABalpaaaaa,-13007.39581,-139.4882755,46.62540905
ABalpaaaap,-10619.69098,-112.9179484,47.02392815
ABalpaaap,-11357.22723,-126.9256882,44.73967165
ABalpaaapa,-9378.862516,-107.7674429,43.51435955
ABalpaaapp,-7481.547159,-85.7993089,43.59911085
ABalpaap,-12471.50092,-138.7234945,44.95093265
ABalpaapa,-14142.40022,-151.5209983,46.66811985
ABalpaapaa,-15012.78524,-152.929355,49.08405335
ABalpaapap,-11107.80497,-127.437937,43.58123345
ABalpaapp,-9783.81385,-120.209489,40.69484835
ABalpaappa,-10515.64891,-137.9894961,38.10307745
ABalpaappp,-8105.738937,-112.1580814,36.13533165
ABalpap,-7507.26988,-109.9091855,34.15214955
ABalpapa,-10636.0887,-137.2000441,38.76124375
ABalpapaa,-10579.57706,-129.9564497,40.70431705
ABalpapaaa,-8631.60345,-112.7385083,38.28152235
ABalpapaap,-6718.886543,-87.0535502,38.59053725
ABalpapap,-7850.763873,-98.837033,39.71569985
ABalpapapa,-4937.19376,-73.0037714,33.81464865
ABalpapapp,-2988.039148,-45.0685567,33.14993165
ABalpapp,-6369.210102,-91.8556336,34.66967595
ABalpappa,-7630.845605,-90.1052796,42.34405375
ABalpappaa,-7293.652909,-85.0488779,42.87918365
ABalpappap,-5064.516217,-58.8403205,43.03610325
ABalpappp,-4870.601926,-57.159782,42.60514785
ABalpapppa,-5483.996879,-62.4625526,43.89827705
ABalpapppp,-2614.758117,-30.5376963,42.81197395
ABalpp,-6091.622031,-80.2961928,37.93219715
ABalppa,-7726.005658,-101.5863253,38.02679955
ABalppaa,-10414.98415,-136.4696246,38.15861655
ABalppaaa,-10388.16613,-136.5287842,38.04386815
