,x,y,u
AB,-34.2268477,52.41275615,62.72181886
ABa,-103.4094606,54.89103815,117.149656
ABal,-130.4990498,47.09200165,138.8120598
ABala,-142.1583069,57.75492875,153.5048604
ABalaa,-150.8165997,55.94960565,160.9143288
ABalaaa,-158.3351407,57.16130965,168.3866702
ABalaaaa,-152.5352386,55.52623825,162.37399
ABalaaaal,-160.3110801,46.34622785,166.9279848
ABalaaaala,-162.4113206,42.82704445,168.0088817
ABalaaaalp,-145.1160895,35.93644895,149.5491472
ABalaaaar,-169.1640597,54.50487605,177.771671
ABalaaaarl,-167.3799733,50.63816815,174.9163583
ABalaaaarr,-158.9982333,59.11877475,169.6771742
ABalaaap,-136.125406,61.83379635,149.5648478
ABalaaapa,-164.1197652,56.10275725,173.4946779
ABalaaapal,-167.47832,45.67671325,173.6449392
ABalaaapar,-175.3040258,55.86994255,184.0406563
ABalaaapp,-145.5687999,62.54715415,158.4928655
ABalaaappl,-169.8069496,62.48494185,180.9862656
ABalaaappr,-151.6570921,67.79582065,166.1706765
ABalaap,-126.6533603,48.81988285,135.7935769
ABalaapa,-118.401811,59.62608985,132.624768
ABalaapaa,-146.3474435,63.55965155,159.6003931
ABalaapaaa,-145.4222056,63.66189055,158.7940342
ABalaapaap,-120.2295003,67.33037275,137.8482602
ABalaapap,-122.110166,68.42450445,140.0257259
ABalaapapp,-98.9161914,72.49661515,122.6948837
ABalaapp,-79.3765164,60.20326545,99.70095295
ABalaappa,-126.6043181,68.26199845,143.8971048
ABalaappap,-123.1743951,70.92827955,142.1949843
ABalaappp,-103.7170384,69.71510305,125.0463039
ABalaapppa,-138.6153297,70.53984205,155.5946644
ABalaapppp,-119.0294348,73.85091565,140.1532877
ABalap,-124.2904114,66.53429965,141.0559318
ABalapa,-136.1866124,65.66363565,151.2597822
ABalapaa,-138.1987436,60.73754415,151.0247923
ABalapaaa,-151.4159951,50.66857355,159.7363299
ABalapaaaa,-163.1951216,48.02308235,170.1714793
ABalapaaap,-149.0198734,45.85695375,155.9897384
ABalapaap,-134.8127366,45.63485365,142.4049309
ABalapaapa,-150.2954136,41.30651145,155.9356404
ABalapaapp,-131.5035334,38.72109475,137.1651433
ABalapap,-106.677127,65.49841425,125.2700157
ABalapapa,-121.7556976,52.62343765,132.7316454
ABalapapap,-128.9512935,49.76275185,138.31076
ABalapapp,-85.3309315,50.32205655,99.17450787
ABalapappa,-108.3959105,43.24486165,116.8040119
ABalapappp,-76.3984804,43.72261745,88.15959926
ABalapp,-94.8743617,58.10759485,111.3338667
ABalappa,-100.0315419,63.38475205,118.5005333
ABalappaa,-148.791703,58.87121225,160.0830236
ABalappaap,-155.5799374,58.17171925,166.1667439
ABalappap,-124.7534205,63.42013605,140.0253932
ABalappapa,-157.1437826,67.16467475,170.9562533
ABalappapp,-140.0229625,70.61613665,156.8933114
ABalappp,-56.2277913,61.04437525,83.1010057
ABalapppa,-95.9599872,65.47714345,116.2651269
ABalapppaa,-138.6991131,63.94501865,152.8084292
ABalapppap,-114.9994153,67.28390855,133.3318483
ABalapppp,-55.5979183,66.83714305,87.05372291
ABalappppa,-94.2978615,71.22005165,118.2649269
ABalappppp,-62.8666055,71.82516405,95.57096885
ABalp,-110.7704994,39.12400815,117.5652437
ABalpa,-135.0194259,40.53633525,141.0486593
ABalpaa,-148.5372099,44.26066485,155.0614705
ABalpaaa,-156.714735,49.08380415,164.2686569
ABalpaaaa,-147.0132936,49.73256425,155.2361577
ABalpaaaaa,-139.4882755,46.62540905,147.1141344
ABalpaaaap,-112.9179484,47.02392815,122.3631217
ABalpaaap,-126.9256882,44.73967165,134.6253413
ABalpaaapa,-107.7674429,43.51435955,116.2733081
ABalpaaapp,-85.7993089,43.59911085,96.30673624
ABalpaap,-138.7234945,44.95093265,145.8925915
ABalpaapa,-151.5209983,46.66811985,158.5947302
ABalpaapaa,-152.929355,49.08405335,160.6553112
ABalpaapap,-127.437937,43.58123345,134.7355545
ABalpaapp,-120.209489,40.69484835,126.9728138
ABalpaappa,-137.9894961,38.10307745,143.2012802
ABalpaappp,-112.1580814,36.13533165,117.893096
ABalpap,-109.9091855,34.15214955,115.1773326
ABalpapa,-137.2000441,38.76124375,142.6309495
ABalpapaa,-129.9564497,40.70431705,136.2315981
ABalpapaaa,-112.7385083,38.28152235,119.1052279
ABalpapaap,-87.0535502,38.59053725,95.27698305
ABalpapap,-98.837033,39.71569985,106.58119
ABalpapapa,-73.0037714,33.81464865,80.5229703
ABalpapapp,-45.0685567,33.14993165,56.04100235
ABalpapp,-91.8556336,34.66967595,98.2665981
ABalpappa,-90.1052796,42.34405375,99.61995714
ABalpappaa,-85.0488779,42.87918365,95.30447542
ABalpappap,-58.8403205,43.03610325,72.96907778
ABalpappp,-57.159782,42.60514785,71.36924936
ABalpapppa,-62.4625526,43.89827705,76.42224375
ABalpapppp,-30.5376963,42.81197395,52.6886691
ABalpp,-80.2961928,37.93219715,88.95507506
ABalppa,-101.5863253,38.02679955,108.5964552
ABalppaa,-136.4696246,38.15861655,141.7841802
ABalppaaa,-136.5287842,38.04386815,141.7961285
ABalppaaap,-140.2800359,33.28964015,144.2369918
ABalppaap,-116.450516,33.47670455,121.2408971
ABalppaapp,-108.4705332,27.91468115,112.0809939
ABalppap,-103.3990819,36.04917525,109.6069723
ABalppapa,-97.9444766,35.19451095,104.1486303
ABalppapaa,-111.6704941,30.71383165,115.8776084
ABalppapap,-87.3247287,31.09073075,92.76447872
ABalppapp,-65.1206184,34.97483375,74.01814779
ABalppappa,-75.0181892,28.87384905,80.45662652
ABalppappp,-46.9635172,27.58512705,54.58824706
ABalppp,-53.9579939,33.64981335,63.76509141
ABalpppa,-89.3812277,41.20849175,98.52924435
ABalpppaa,-117.3622262,38.43772255,123.579594
ABalpppaaa,-131.2774197,29.82324555,134.6957798
ABalpppaap,-119.683037,29.21931495,123.2904559
ABalpppap,-90.0973547,35.07499175,96.78908491
ABalpppapa,-107.3227378,26.76040795,110.6939398
