,uu,x,y
AB,196.6590356,-34.2268477,52.41275615
ABa,367.8017853,-103.4094606,54.89103815
ABal,435.8517824,-130.4990498,47.09200165
ABala,482.0539864,-142.1583069,57.75492875
ABalaa,505.357234,-150.8165997,55.94960565
ABalaaa,528.84709,-158.3351407,57.16130965
ABalaaaa,509.9663482,-152.5352386,55.52623825
ABalaaaal,524.256565,-160.3110801,46.34622785
ABalaaaala,527.671546,-162.4113206,42.82704445
ABalaaaalp,469.6666076,-145.1160895,35.93644895
ABalaaaar,558.3491437,-169.1640597,54.50487605
ABalaaaarl,549.3771578,-167.3799733,50.63816815
ABalaaaarr,532.9188333,-158.9982333,59.11877475
ABalaaap,469.7027161,-136.125406,61.83379635
ABalaaapa,544.890356,-164.1197652,56.10275725
ABalaaapal,545.3659148,-167.47832,45.67671325
ABalaaapar,578.0270266,-175.3040258,55.86994255
ABalaaapp,497.7458936,-145.5687999,62.54715415
ABalaaappl,568.4352994,-169.8069496,62.48494185
ABalaaappr,521.8841373,-151.6570921,67.79582065
ABalaap,426.4294532,-126.6533603,48.81988285
ABalaapa,416.474475,-118.401811,59.62608985
ABalaapaa,501.252932,-146.3474435,63.55965155
ABalaapaaa,498.7168672,-145.4222056,63.66189055
ABalaapaap,432.9077269,-120.2295003,67.33037275
ABalaapap,439.7422414,-122.110166,68.42450445
ABalaapapp,385.2798321,-98.9161914,72.49661515
ABalaapp,312.9799683,-79.3765164,60.20326545
ABalaappa,451.8693037,-126.6043181,68.26199845
ABalaappap,446.5346285,-123.1743951,70.92827955
ABalaappp,392.6038126,-103.7170384,69.71510305
ABalaapppa,488.6169355,-138.6153297,70.53984205
ABalaapppp,440.069339,-119.0294348,73.85091565
ABalap,442.8968186,-124.2904114,66.53429965
ABalapa,474.9783319,-136.1866124,65.66363565
ABalapaa,474.2446338,-138.1987436,60.73754415
ABalapaaa,501.6141542,-151.4159951,50.66857355
ABalapaaaa,534.4297344,-163.1951216,48.02308235
ABalapaaap,489.8243972,-149.0198734,45.85695375
ABalapaap,447.1338868,-134.8127366,45.63485365
ABalapaapa,489.6748301,-150.2954136,41.30651145
ABalapaapp,430.6675808,-131.5035334,38.72109475
ABalapap,393.2648105,-106.677127,65.49841425
ABalapapa,416.7044792,-121.7556976,52.62343765
ABalapapap,434.2309271,-128.9512935,49.76275185
ABalapapp,311.2187529,-85.3309315,50.32205655
ABalapappa,366.6359964,-108.3959105,43.24486165
ABalapappp,276.5385945,-76.3984804,43.72261745
ABalapp,349.517355,-94.8743617,58.10759485
ABalappa,372.0358882,-100.0315419,63.38475205
ABalappaa,502.7018531,-148.791703,58.87121225
ABalappaap,521.8171765,-155.5799374,58.17171925
ABalappap,439.6605838,-124.7534205,63.42013605
ABalappapa,536.8839556,-157.1437826,67.16467475
ABalappapp,492.6701329,-140.0229625,70.61613665
ABalappp,260.7328908,-56.2277913,61.04437525
ABalapppa,364.9602594,-95.9599872,65.47714345
ABalapppaa,479.8149984,-138.6991131,63.94501865
ABalapppap,418.5751036,-114.9994153,67.28390855
ABalapppp,273.1258846,-55.5979183,66.83714305
ABalappppa,371.2451082,-94.2978615,71.22005165
ABalappppp,299.8709724,-62.8666055,71.82516405
ABalp,369.0641584,-110.7704994,39.12400815
ABalpa,442.880333,-135.0194259,40.53633525
ABalpaa,486.9195913,-148.5372099,44.26066485
ABalpaaa,515.9173156,-156.714735,49.08380415
ABalpaaaa,487.5670469,-147.0132936,49.73256425
ABalpaaaaa,462.0481604,-139.4882755,46.62540905
ABalpaaaap,384.273584,-112.9179484,47.02392815
ABalpaaap,422.7954476,-126.9256882,44.73967165
ABalpaaapa,365.1190451,-107.7674429,43.51435955
ABalpaaapp,302.351223,-85.7993089,43.59911085
ABalpaap,458.1212799,-138.7234945,44.95093265
ABalpaapa,498.0838995,-151.5209983,46.66811985
ABalpaapaa,504.5815612,-152.929355,49.08405335
ABalpaapap,423.1219365,-127.437937,43.58123345
ABalpaapp,398.7025416,-120.209489,40.69484835
ABalpaappa,449.7302142,-137.9894961,38.10307745
ABalpaappp,370.1910392,-112.1580814,36.13533165
ABalpap,361.5753196,-109.9091855,34.15214955
ABalpapa,447.8977595,-137.2000441,38.76124375
ABalpapaa,427.8281761,-129.9564497,40.70431705
ABalpapaaa,374.0401667,-112.7385083,38.28152235
ABalpapaap,299.154029,-87.0535502,38.59053725
ABalpapap,334.6363371,-98.837033,39.71569985
ABalpapapa,252.7563308,-73.0037714,33.81464865
ABalpapapp,175.7634131,-45.0685567,33.14993165
ABalpapp,308.4436699,-91.8556336,34.66967595
ABalpappa,312.7735993,-90.1052796,42.34405375
ABalpappaa,299.2263686,-85.0488779,42.87918365
ABalpappap,229.019508,-58.8403205,43.03610325
ABalpappp,223.9680006,-57.159782,42.60514785
ABalpapppa,239.8463351,-62.4625526,43.89827705
ABalpapppp,165.207633,-30.5376963,42.81197395
ABalpp,278.9891733,-80.2961928,37.93219715
ABalppa,340.7696857,-101.5863253,38.02679955
ABalppaa,445.1764099,-136.4696246,38.15861655
ABalppaaa,445.2585022,-136.5287842,38.04386815
ABalppaaap,452.9419316,-140.2800359,33.28964015
ABalppaap,380.6569751,-116.450516,33.47670455
ABalppaapp,351.8736079,-108.4705332,27.91468115
ABalppap,344.0139088,-103.3990819,36.04917525
ABalppapa,326.9637982,-97.9444766,35.19451095
ABalppapaa,363.8506666,-111.6704941,30.71383165
ABalppapap,291.2078764,-87.3247287,31.09073075
ABalppapp,232.2215891,-65.1206184,34.97483375
ABalppappa,252.5306653,-75.0181892,28.87384905
ABalppappp,171.1090057,-46.9635172,27.58512705
ABalppp,199.7760245,-53.9579939,33.64981335
ABalpppa,309.2058791,-89.3812277,41.20849175
ABalpppaa,387.9752538,-117.3622262,38.43772255
ABalpppaaa,422.9286999,-131.2774197,29.82324555
ABalpppaap,387.0385757,-119.683037,29.21931495
ABalpppap,303.7416225,-90.0973547,35.07499175
ABalpppapa,347.4875499,-107.3227378,26.76040795
ABalpppapp,287.1633355,-87.5120097,26.39838555
ABalpppp,195.1404687,-48.4225932,38.90428165
ABalppppa,273.8456264,-76.6924322,41.43055635
